rank,span,count,fraction,per_epoch_probability,asymptotic_observable
0,1,2708,0.002055751244989676,1.0,1
1,1,3990,0.0030289687841613022,1.0,1
1,2,1288,0.0009777723794485607,0.04761904761904763,1
2,1,112209,0.08518234543908661,1.0,1
2,2,226020,0.17158083323211465,0.04761904761904763,1
2,3,489735,0.371777450504069,0.0015360983102918582,1
2,4,312104,0.2369306449653832,2.518193951298129e-05,1
2,5,121757,0.09243061459978137,0.0,0
2,6,38042,0.028879205635855703,0.0,0
2,7,8578,0.0065119033159237215,0.0,0
2,8,849,0.0006445098991862019,0.0,0
