epoch,expected_coverage_all,observable_ceiling_all,entropy_bits_all,entropy_nats_all,normalized_entropy_bits_all,normalized_entropy_nats_all,expected_coverage_rank0,observable_ceiling_rank0,entropy_bits_rank0,entropy_nats_rank0,normalized_entropy_bits_rank0,normalized_entropy_nats_rank0,expected_coverage_rank1,observable_ceiling_rank1,entropy_bits_rank1,entropy_nats_rank1,normalized_entropy_bits_rank1,normalized_entropy_nats_rank1,expected_coverage_rank2,observable_ceiling_rank2,entropy_bits_rank2,entropy_nats_rank2,normalized_entropy_bits_rank2,normalized_entropy_nats_rank2,expected_coverage_rank1_2,observable_ceiling_rank1_2,entropy_bits_rank1_2,entropy_nats_rank1_2,normalized_entropy_bits_rank1_2,normalized_entropy_nats_rank1_2
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.15427981800638285,1.0,359230.6429455783,248999.70732846402,0.27270636686625344,0.18902564931408966,1.0,1.0,0.0,0.0,0.0,0.0,0.8140709864847967,1.0,1019.9135581069236,706.950207216676,0.19323864306686692,0.13394282061702842,0.14987088613907365,1.0,358210.7293874962,248292.75712126453,0.27359075149469575,0.189638658025825,0.1525376462174522,1.0,359230.64294557826,248999.70732846396,0.2732681381815361,0.18941503951739727
2,0.20740411600585884,1.0,514305.46351946815,356489.38198509515,0.39042987331430534,0.2706253658941874,1.0,1.0,0.0,0.0,0.0,0.0,0.8583397992265118,1.0,1263.8124601895706,876.008043536929,0.239449120915038,0.16597348304981602,0.2031407586618683,1.0,513041.6510592757,355613.37394155626,0.39184602622426723,0.2716069682909692,0.2057713795304002,1.0,514305.46351946815,356489.38198509515,0.3912341534122651,0.27118285037646866
3,0.2520271958466884,1.0,601709.2621430081,417073.07857123105,0.45678159703556426,0.3166168761168704,1.0,1.0,0.0,0.0,0.0,0.0,0.8920684184582746,1.0,1275.592948667064,884.1736559107225,0.241681119489781,0.16752058656891294,0.24790004951689074,1.0,600433.6691943579,416188.9049153321,0.4585934627320968,0.3178727657159752,0.25048638229391473,1.0,601709.2621430081,417073.07857123105,0.45772256075970585,0.31726910246926837
4,0.28997863519421674,1.0,654019.5072283249,453331.77746651816,0.4964923989040484,0.34414230646978483,1.0,1.0,0.0,0.0,0.0,0.0,0.9177664140634453,1.0,1187.405101718948,823.0464984389838,0.22497254674477982,0.15593908647953464,0.2859793792954293,1.0,652832.1021265415,452508.73096803454,0.4986138347281371,0.3456127737299908,0.28851600107764785,1.0,654019.5072283249,453331.77746651816,0.4975151663266256,0.34485123482511276
5,0.3226625553915964,1.0,686314.3439217334,475716.85246719816,0.5210087027220739,0.3611357133390002,1.0,1.0,0.0,0.0,0.0,0.0,0.9373458392864411,1.0,1058.4732631547213,733.67775805378,0.2005443848341647,0.1390067749249299,0.31878372590616133,1.0,685255.8706585781,474983.17470914393,0.5233781493374124,0.36277808857990945,0.3212672496951689,1.0,686314.3439217334,475716.85246719816,0.5220819733888546,0.36187964787565696
6,0.3511583778852921,1.0,706668.9011300928,489825.55640771857,0.5364606622207069,0.3718461954996042,1.0,1.0,0.0,0.0,0.0,0.0,0.9522634965991659,1.0,918.4376870118967,636.6124932722937,0.17401244543613048,0.12061623593639517,0.34739322206138,1.0,705750.4634430911,489188.9439144534,0.5390313126334431,0.37362803458539745,0.3498217731860426,1.0,706668.9011300928,489825.55640771857,0.5375657637087149,0.37261219348024954
7,0.37629762013413504,1.0,719691.7769789413,498852.3260851301,0.5463468487936819,0.37869877784915135,1.0,1.0,0.0,0.0,0.0,0.0,0.9636293307422301,1.0,782.3754858290143,542.3013621415987,0.14823332433289396,0.10274751082637339,0.37263998264922654,1.0,718909.4014930921,498310.0247229745,0.5490817199903857,0.3805944461083412,0.3750128019236112,1.0,719691.7769789413,498852.3260851301,0.5474723156882554,0.37947889205393853
8,0.3987224344152404,1.0,728096.0319680864,504677.7117355629,0.5527268553140459,0.38312106138069574,1.0,1.0,0.0,0.0,0.0,0.0,0.9722890138988419,1.0,657.5833365299076,455.8020356989071,0.1245894915744425,0.08635885481222189,0.3951666676782946,1.0,727438.4486315497,504221.9096998593,0.5555959537212801,0.38510976885241915,0.3974838110095809,1.0,728096.0319680864,504677.7117355629,0.5538654649331389,0.38391028542792854
9,0.41893023483437114,1.0,733502.1321901958,508424.93486234255,0.5568308424861805,0.385965728518115,1.0,1.0,0.0,0.0,0.0,0.0,0.9788868677324367,1.0,547.0639768257505,379.1958531226802,0.10364986298327974,0.07184461029228499,0.41547112784047363,1.0,732955.0682133702,508045.7390092199,0.5598093844570968,0.38803029648743514,0.4177332392159857,1.0,733502.1321901958,508424.93486234255,0.5579779062616547,0.3867608125400073
