profile,structure,q,epoch,n,expected_mean,empirical_mean,deficit_mean,deficit_sd
cell_basis,Cycle-basis 2-cells,1,200,10,0.6780072904009721,0.5625759416767923,0.11543134872417982,0.0
cell_basis,Cycle-basis 2-cells,2,200,10,0.8726527055266802,0.8123936816524908,0.060259023874189355,0.005860939639986879
cell_basis,Cycle-basis 2-cells,4,200,10,0.9029032523124216,0.865370595382746,0.03753265692967563,0.005635488742300818
cell_basis,Cycle-basis 2-cells,8,200,10,0.9580907998663262,0.9226002430133657,0.035490556852960445,0.005116763611941338
cell_basis,Cycle-basis 2-cells,16,200,10,0.9893730723101891,0.9598420413122721,0.029531030997917006,0.005221882326189251
cell_basis,Cycle-basis 2-cells,32,200,10,0.9999861475153103,0.9865735115431349,0.013412635972175546,0.002352095165368135
cell_simple_coverage,Cycle-span 2-cells,1,200,10,0.08570191263383167,0.08570191263383167,0.0,0.0
cell_simple_coverage,Cycle-span 2-cells,2,200,10,0.2512931057542086,0.24781828985697638,0.003474815897232253,0.017309403507059243
cell_simple_coverage,Cycle-span 2-cells,4,200,10,0.35852087142387157,0.36571197912768255,-0.007191107703810979,0.09782051324651955
cell_simple_coverage,Cycle-span 2-cells,8,200,10,0.6289754122773468,0.6037581322453169,0.025217280032029853,0.09110327402502162
cell_simple_coverage,Cycle-span 2-cells,16,200,10,0.8836567505372676,0.8820651435048201,0.001591607032447373,0.030463435266309208
cell_simple_coverage,Cycle-span 2-cells,32,200,10,0.9987892061939407,0.9985349356217931,0.00025427057214754133,0.0003544552644447787
