rank,span,count,fraction,per_epoch_probability,asymptotic_observable
0,1,2708,0.002055751244989676,1.0,1
1,1,3990,0.0030289687841613022,1.0,1
1,2,1288,0.0009777723794485607,0.11111111111111113,1
2,1,112209,0.08518234543908661,1.0,1
2,2,226020,0.17158083323211465,0.11111111111111113,1
2,3,489735,0.371777450504069,0.010752688172043013,1
2,4,312104,0.2369306449653832,0.0008813678829543451,1
2,5,121757,0.09243061459978137,5.875785886362301e-05,1
2,6,38042,0.028879205635855703,2.987687738828289e-06,1
2,7,8578,0.0065119033159237215,1.0302371513200995e-07,1
2,8,849,0.0006445098991862019,1.8074335988071923e-09,1
