epoch,observed_count_all,total_count_all,realized_coverage_all,new_count_all,observed_count_rank0,total_count_rank0,realized_coverage_rank0,new_count_rank0,observed_count_rank1,total_count_rank1,realized_coverage_rank1,new_count_rank1,observed_count_rank2,total_count_rank2,realized_coverage_rank2,new_count_rank2,observed_count_rank1_2,total_count_rank1_2,realized_coverage_rank1_2,new_count_rank1_2
0,0,9632,0.0,0,0,2708,0.0,0,0,5278,0.0,0,0,1646,0.0,0,0,6924,0.0,0
1,7633,9632,0.7924626245847176,7633,2708,2708,1.0,2708,3998,5278,0.7574838954149299,3998,927,1646,0.56318347509113,927,4925,6924,0.7112940496822646,4925
2,7672,9632,0.7965116279069767,39,2708,2708,1.0,0,4015,5278,0.7607048124289504,17,949,1646,0.5765492102065614,22,4964,6924,0.7169266320046216,39
3,7710,9632,0.8004568106312292,38,2708,2708,1.0,0,4033,5278,0.764115195149678,18,969,1646,0.5886998784933172,20,5002,6924,0.7224147891392259,38
4,7756,9632,0.8052325581395349,46,2708,2708,1.0,0,4061,5278,0.7694202349374764,28,987,1646,0.5996354799513973,18,5048,6924,0.7290583477758521,46
5,7782,9632,0.8079318936877077,26,2708,2708,1.0,0,4074,5278,0.7718832891246684,13,1000,1646,0.6075334143377886,13,5074,6924,0.7328134026574235,26
6,7820,9632,0.8118770764119602,38,2708,2708,1.0,0,4105,5278,0.777756726032588,31,1007,1646,0.6117861482381531,7,5112,6924,0.7383015597920277,38
7,7852,9632,0.8151993355481728,32,2708,2708,1.0,0,4127,5278,0.781924971580144,22,1017,1646,0.6178614823815309,10,5144,6924,0.7429231658001155,32
8,7862,9632,0.8162375415282392,10,2708,2708,1.0,0,4136,5278,0.7836301629405078,9,1018,1646,0.6184690157958688,1,5154,6924,0.744367417677643,10
9,7898,9632,0.8199750830564784,36,2708,2708,1.0,0,4164,5278,0.7889352027283062,28,1026,1646,0.6233292831105711,8,5190,6924,0.7495667244367418,36
10,7925,9632,0.8227782392026578,27,2708,2708,1.0,0,4181,5278,0.7921561197423267,17,1036,1646,0.6294046172539489,10,5217,6924,0.7534662045060658,27
11,7933,9632,0.823608803986711,8,2708,2708,1.0,0,4188,5278,0.7934823796892763,7,1037,1646,0.6300121506682868,1,5225,6924,0.7546216060080878,8
12,7941,9632,0.8244393687707641,8,2708,2708,1.0,0,4195,5278,0.7948086396362258,7,1038,1646,0.6306196840826246,1,5233,6924,0.7557770075101098,8
13,7962,9632,0.8266196013289037,21,2708,2708,1.0,0,4204,5278,0.7965138309965896,9,1050,1646,0.637910085054678,12,5254,6924,0.7588099364529174,21
14,7991,9632,0.8296303986710963,29,2708,2708,1.0,0,4229,5278,0.8012504736642667,25,1054,1646,0.6403402187120292,4,5283,6924,0.762998266897747,29
15,8014,9632,0.8320182724252492,23,2708,2708,1.0,0,4241,5278,0.8035240621447518,12,1065,1646,0.6470230862697448,11,5306,6924,0.7663200462160601,23
16,8019,9632,0.8325373754152824,5,2708,2708,1.0,0,4246,5278,0.8044713906782872,5,1065,1646,0.6470230862697448,0,5311,6924,0.7670421721548238,5
17,8037,9632,0.834406146179402,18,2708,2708,1.0,0,4260,5278,0.8071239105721865,14,1069,1646,0.649453219927096,4,5329,6924,0.7696418255343732,18
