rank,span,count,fraction,per_epoch_probability,asymptotic_observable
0,1,2708,0.5111362778406946,1.0,1
1,1,1415,0.2670819177047943,1.0,1
1,2,728,0.13741034352585882,0.23809523809523808,1
1,3,279,0.05266138165345413,0.053763440860215055,1
1,4,95,0.01793129482823707,0.011457782478406488,1
1,5,34,0.006417516043790109,0.0022915564956812974,1
1,6,13,0.002453756134390336,0.0004272393466524453,1
1,7,9,0.0016987542468856172,7.366195631938712e-05,1
1,8,1,0.00018875047187617969,1.1630835208324282e-05,1
1,9,4,0.0007550018875047187,1.6615478869034688e-06,1
1,11,4,0.0007550018875047187,2.34966367844935e-08,1
1,12,1,0.00018875047187617969,2.2166638475937263e-09,1
1,14,1,0.00018875047187617969,1.0030153156532697e-11,1
1,15,3,0.0005662514156285391,4.012061262613079e-13,1
1,16,1,0.00018875047187617969,8.187880127781795e-15,1
1,20,1,0.00018875047187617969,0.0,0
1,21,1,0.00018875047187617969,0.0,0
