rank,span,count,fraction,per_epoch_probability,asymptotic_observable
0,1,2708,0.5111362778406946,1.0,1
1,1,1415,0.2670819177047943,1.0,1
1,2,728,0.13741034352585882,0.015873015873015872,1
1,3,279,0.05266138165345413,0.0,0
1,4,95,0.01793129482823707,0.0,0
1,5,34,0.006417516043790109,0.0,0
1,6,13,0.002453756134390336,0.0,0
1,7,9,0.0016987542468856172,0.0,0
1,8,1,0.00018875047187617969,0.0,0
1,9,4,0.0007550018875047187,0.0,0
1,11,4,0.0007550018875047187,0.0,0
1,12,1,0.00018875047187617969,0.0,0
1,14,1,0.00018875047187617969,0.0,0
1,15,3,0.0005662514156285391,0.0,0
1,16,1,0.00018875047187617969,0.0,0
1,20,1,0.00018875047187617969,0.0,0
1,21,1,0.00018875047187617969,0.0,0
